eventIndex,price_median15,price_delta15,bedrooms_delta15,view_delta15,bedsView_delta15,bathrooms_delta15,grade_delta15,bathsGrade_delta15,sqft_living_delta15,sqft_above_delta15,sqft_basement_delta15,sqft_lot_delta15,floors_delta15,waterfront_delta15,condition_delta15,building_age_delta15,interior_age_delta15
0,400000.0,-178100.0,-1.0,0.0,-2.0,-0.75,0.0,-6.0,-890.0,-420.0,-150.0,-904.0,-0.5,0.0,0.0,-15.0,-15.0
1,402000.0,136000.0,0.0,0.0,0.0,0.75,0.0,6.0,1020.0,1020.0,400.0,402.0,1.0,0.0,0.0,0.0,-40.0
2,519900.0,-339900.0,-1.0,0.0,-1.0,-1.5,-2.0,-16.0,-1633.0,-1633.0,0.0,1655.0,-1.0,0.0,0.0,62.0,62.0
3,560000.0,44000.0,1.0,0.0,0.0,0.5,-1.0,1.0,-150.0,-310.0,590.0,0.0,-0.5,0.0,2.0,-10.0,-10.0
4,525000.0,-15000.0,0.0,0.0,0.0,-0.5,0.0,-5.0,-350.0,-110.0,0.0,531.0,-1.0,0.0,0.0,0.0,0.0
5,1100000.0,130000.0,0.0,0.0,0.0,1.5,2.0,24.0,2100.0,570.0,1530.0,41807.0,-1.0,0.0,0.0,-1.0,-1.0
6,225000.0,32500.0,0.0,0.0,0.0,0.25,0.0,2.0,245.0,325.0,0.0,-923.0,1.0,0.0,0.0,-20.0,-20.0
7,262000.0,29850.0,0.0,0.0,-1.0,-0.25,0.0,-2.0,-330.0,-30.0,0.0,111.0,0.0,0.0,-1.0,-1.0,-1.0
8,210000.0,19500.0,1.0,0.0,1.0,0.0,1.0,1.0,480.0,10.0,730.0,1243.0,0.0,0.0,0.0,-15.0,-11.0
9,358000.0,-35000.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-570.0,-570.0,0.0,-409.0,0.0,0.0,0.0,0.0,0.0
10,475000.0,187500.0,0.0,0.0,0.0,0.75,1.0,9.0,1980.0,540.0,1700.0,2071.0,0.0,0.0,0.0,-8.0,-4.0
11,546800.0,-78800.0,-2.0,0.0,-2.0,-0.75,0.0,-6.0,-360.0,-310.0,160.0,0.0,0.0,0.0,1.0,3.0,3.0
12,450000.0,-140000.0,-1.0,0.0,-1.0,-1.5,-1.0,-15.0,-960.0,-200.0,0.0,8339.0,0.5,0.0,1.0,49.0,49.0
13,510000.0,-110000.0,0.0,0.0,0.0,-0.5,-1.0,-6.0,-420.0,-100.0,0.0,1600.0,0.0,0.0,1.0,10.0,10.0
14,505500.0,24500.0,2.0,0.0,2.0,-0.5,-1.0,-7.0,450.0,450.0,0.0,3514.0,-1.5,0.0,0.0,103.0,104.0
